,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
220,1608756780330516486,Fri Dec 30 09:28:00 +0000 2022,3,nampaknya tarik kalau ulik data bijak kait target tumpang krl pso isu naik tarif,1608756780330516486,,,in,Stasiun Kereta Api,0,0,0,https://twitter.com/AnkerTwiter/status/1608756780330516486,1015669727123812352,AnkerTwiter
221,1608756686701072390,Fri Dec 30 09:27:38 +0000 2022,0,perintah cabut bijak ppkm,1608756686701072390,,,in,Jakarta,0,0,0,https://twitter.com/ndarinda/status/1608756686701072390,70878437,ndarinda
222,1608756441996730368,Fri Dec 30 09:26:39 +0000 2022,0,langkah pemda diy bila perintah resmi cabut bijak ppkm,1608756441996730368,,,in,Jl Jend Sudirman 52 Yogyakarta,0,0,0,https://twitter.com/tribunjogja/status/1608756441996730368,223476605,tribunjogja
223,1608756292914495489,Fri Dec 30 09:26:04 +0000 2022,1,dukung bijak perintah bangun ikn nusantara,1608756292914495489,https://pbs.twimg.com/media/FlNzUqXWAAANen9.jpg,,in,,0,0,1,https://twitter.com/FelisaTika/status/1608756292914495489,1565163318536708096,FelisaTika
224,1608755527592611840,Fri Dec 30 09:23:01 +0000 2022,0,untung level statement bijak lho rakyat enggak beda pegawai bpn pegawai notaris sama calomakelar makanya sering kira berkas dibantuin orang padahal kasih calo,1608755527592611840,,,in,"Buleleng, Indonesia",0,1,0,https://twitter.com/Cek_KokoSebelah/status/1608755527592611840,380291589,Cek_KokoSebelah
225,1608754798039269376,Fri Dec 30 09:20:07 +0000 2022,0,erksnews jokowi stop bijak ppkm covid indonesia lppl erks fm lihat lengkap,1608754798039269376,https://pbs.twimg.com/media/FlNx9rjX0AAQonv.jpg,,in,Sumedang,0,0,0,https://twitter.com/eRKSFM/status/1608754798039269376,340207193,eRKSFM
226,1608754679848239109,Fri Dec 30 09:19:39 +0000 2022,3,assalamualaikum sobat kampus lama hiatus twitter eh berita baik hari bijak ppkm covid resmi cabut sobat kampus semua tetap jaga bersih sehat tubuh sumber cnnindonesia,1608754679848239109,https://pbs.twimg.com/media/FlNx2MDakAA2x7U.jpg,,in,Medan - UIN Sumatera Utara,0,0,0,https://twitter.com/LPM_Dinamika/status/1608754679848239109,51655849,LPM_Dinamika
227,1608754320148729856,Fri Dec 30 09:18:13 +0000 2022,0,moga bijak program sebut buat maju indonesia jadi lebih baik,1608754320148729856,https://pbs.twimg.com/media/FlNxh1cWYAEw1jb.jpg,,in,,0,0,0,https://twitter.com/masyafirfarim/status/1608754320148729856,970482396935016449,masyafirfarim
228,1608754316587794434,Fri Dec 30 09:18:12 +0000 2022,1,pokok pak jokowi paling keren deh kalo buat bijak maju indonesia,1608754316587794434,https://pbs.twimg.com/media/FlNxhnyXEAA8Z4-.jpg,,in,,1,0,0,https://twitter.com/masyafirfarim/status/1608754316587794434,970482396935016449,masyafirfarim
229,1608753909438500865,Fri Dec 30 09:16:35 +0000 2022,0,menteri tahan ri prabowo subianto blakblakan sebut indonesia sedang ancam eropa ancam eropa sebut kait bijak presiden joko widodo soal ekspor bahan mentah,1608753909438500865,,,in,,0,0,0,https://twitter.com/ZamanEd88873856/status/1608753909438500865,1402838347970613250,ZamanEd88873856
230,1608753899812581376,Fri Dec 30 09:16:33 +0000 2022,0,bikin bijak transportasi umum biasa jarang pakai transportasi umum ambyaar lah,1608753899812581376,,,in,Bekasi,0,0,0,https://twitter.com/jochny/status/1608753899812581376,37541861,jochny
231,1608753810809278464,Fri Dec 30 09:16:12 +0000 2022,6,china cabut atur bebas tes pcr datang korea selatan bakal laku wajib tes covid lancong china amerika serikat jepang turut terap bijak wajib tes,1608753810809278464,https://pbs.twimg.com/ext_tw_video_thumb/1608753750675431426/pu/img/Z4Se5P0YPzyvs4qU.jpg,,in,Jakarta - Indonesia,1,0,4,https://twitter.com/detikHealth/status/1608753810809278464,104446991,detikHealth
232,1608753525655506946,Fri Dec 30 09:15:04 +0000 2022,0,rakyat indonesia dukung penuh bijak perintah maju bangsa negara,1608753525655506946,https://pbs.twimg.com/media/FlNwy58aUAIJ5Nc.jpg,,in,"Papua, Indonesia",0,0,0,https://twitter.com/bangputeraa/status/1608753525655506946,808954807620751360,bangputeraa
233,1608753132951011329,Fri Dec 30 09:13:30 +0000 2022,6,china cabut atur bebas tes pcr datang korea selatan bakal laku wajib tes covid lancong china amerika serikat jepang turut terap bijak wajib tes,1608753132951011329,https://pbs.twimg.com/ext_tw_video_thumb/1608753073572167682/pu/img/fIfiD11fLvoGa_Ey.jpg,,in,,2,0,1,https://twitter.com/detikcom/status/1608753132951011329,69183155,detikcom
234,1608752870912045056,Fri Dec 30 09:12:28 +0000 2022,0,bijak pak jokowi baik,1608752870912045056,https://pbs.twimg.com/media/FlNwDZ6aEAA9zQO.jpg,,in,"Papua, Indonesia",0,0,0,https://twitter.com/bangputeraa/status/1608752870912045056,808954807620751360,bangputeraa
235,1608752596344504320,Fri Dec 30 09:11:22 +0000 2022,1,perintah resmi cabut bijak laku batas giat masyarakat ppkm jumat meski presiden joko widodo jokowi minta masyarakat tetap waspada pasal covid indonesia lengkap kompastv,1608752596344504320,https://pbs.twimg.com/media/FlNv9RNaUAE5OOl.jpg,,in,♡ Hati TL'ers ♡,0,0,0,https://twitter.com/BalikpapanTL/status/1608752596344504320,1427449278,BalikpapanTL
236,1608752493449850884,Fri Dec 30 09:10:58 +0000 2022,0,rakyat indonesia dukung penuh bijak perintah maju bangsa negara,1608752493449850884,https://pbs.twimg.com/media/FlNv3GpakAAe1UE.jpg,,in,"Papua, Indonesia",0,0,0,https://twitter.com/bangputeraa/status/1608752493449850884,808954807620751360,bangputeraa
237,1608752255473442816,Fri Dec 30 09:10:01 +0000 2022,0,masyarakat indonesia dukung penuh bijak perintah,1608752255473442816,https://pbs.twimg.com/media/FlNvo4ZaEAI9dbz.jpg,,in,"Papua, Indonesia",0,0,0,https://twitter.com/bangputeraa/status/1608752255473442816,808954807620751360,bangputeraa
238,1608752144622170113,Fri Dec 30 09:09:35 +0000 2022,1,presiden jokowi resmi cabut bijak ppkm lengkap,1608752144622170113,https://pbs.twimg.com/media/FlNvi5GaMAY7P37.jpg,,in,"DKI Jakarta, Indonesia",0,0,0,https://twitter.com/catatan_politik/status/1608752144622170113,1300904646286827521,catatan_politik
239,1608751778069348352,Fri Dec 30 09:08:07 +0000 2022,0,perintah resmi cabut bijak laku batas giat masyarakat ppkm jumat desember,1608751778069348352,,,in,Jln Hoopan RT 01/04 Purwokerto,0,1,1,https://twitter.com/suara_banyumas/status/1608751778069348352,1168440405827842049,suara_banyumas
240,1608751624549453824,Fri Dec 30 09:07:31 +0000 2022,6,presiden joko widodo jokowi resmi cabut bijak laku batas giat masyarakat ppkm cabut ppkm mulai hari jumat,1608751624549453824,https://pbs.twimg.com/media/FlNvEmTaEAEN3ds.jpg,,in,Balikpapan ,1,0,0,https://twitter.com/IklanBalikpapan/status/1608751624549453824,389557442,IklanBalikpapan
241,1608751555603226624,Fri Dec 30 09:07:14 +0000 2022,7,presiden jokowi baru cabut bijak ppkm indonesia bagaimana dampak atur sektor terbang wajib booster,1608751555603226624,,,in,,1,0,1,https://twitter.com/detikcom/status/1608751555603226624,69183155,detikcom
242,1608751389303517184,Fri Dec 30 09:06:35 +0000 2022,0,kala bijak beras ri nilai tak mampu sejahtera tani,1608751389303517184,,,in,Indonesia,0,0,0,https://twitter.com/sariagri_id/status/1608751389303517184,1253240390628421632,sariagri_id
243,1608751303848779779,Fri Dec 30 09:06:14 +0000 2022,0,presiden jokowi umum cabut bijak ppkm,1608751303848779779,,,in,,0,0,0,https://twitter.com/JakartaNewsID1/status/1608751303848779779,1033940986169155586,JakartaNewsID1
244,1608751167781351427,Fri Dec 30 09:05:42 +0000 2022,0,bijak berani positif pak jokowi maju bangsa,1608751167781351427,,,in,"Wonosobo, Jawa Tengah",0,0,0,https://twitter.com/Niki_Mirzaaa/status/1608751167781351427,1743063660,Niki_Mirzaaa
245,1608747276364562432,Fri Dec 30 08:50:14 +0000 2022,0,jokowi cabut bijak ppkm indonesia,1608747276364562432,,,in,"West Java, Indonesia",0,0,0,https://twitter.com/wjtodaycom/status/1608747276364562432,1062697782425772032,wjtodaycom
246,1608747253635727360,Fri Dec 30 08:50:09 +0000 2022,0,cabut bijak ppkm presiden jokowi pandemi akhir sepenuh,1608747253635727360,,,in,Jakarta Capital Region,0,0,0,https://twitter.com/suaradotcom/status/1608747253635727360,2340155395,suaradotcom
247,1608747061461110784,Fri Dec 30 08:49:23 +0000 2022,0,yuk rakyat dukung penuh bijak perintah maju bangsa negara,1608747061461110784,https://pbs.twimg.com/media/FlNq7VOWAAEBCiw.jpg,,in,"Lampung Timur, Lampung",0,0,0,https://twitter.com/RengginangMas/status/1608747061461110784,1413405180427603972,RengginangMas
